Rango,ASN,Organización,Descripción,País,Rango padre
58.180.92.0/24,4670,HYUNDAI-KR,Shinbiro,KR,58.180.0.0/16
58.180.93.0/24,4670,HYUNDAI-KR,Shinbiro,KR,58.180.0.0/16
58.180.96.0/23,4670,HYUNDAI-KR,Shinbiro,KR,58.180.0.0/16
58.180.98.0/23,4670,HYUNDAI-KR,Shinbiro,KR,49.157.0.0/16
58.180.100.0/23,4670,HYUNDAI-KR,Shinbiro,KR,58.180.0.0/16
58.180.102.0/24,4670,HYUNDAI-KR,Shinbiro,KR,58.180.0.0/16
58.180.104.0/24,4670,HYUNDAI-KR,Shinbiro,KR,58.180.0.0/16
58.180.105.0/24,4670,HYUNDAI-KR,Shinbiro,KR,58.180.0.0/16
58.180.106.0/23,4670,HYUNDAI-KR,Shinbiro,KR,52.0.0.0/10
58.180.109.0/24,4670,HYUNDAI-KR,Shinbiro,KR,58.180.0.0/16
58.180.110.0/24,4670,HYUNDAI-KR,Shinbiro,KR,58.180.0.0/16
58.180.111.0/24,4670,HYUNDAI-KR,Shinbiro,KR,58.180.0.0/16
58.180.112.0/24,4670,HYUNDAI-KR,Shinbiro,KR,58.180.0.0/16
58.180.116.0/24,4670,HYUNDAI-KR,Shinbiro,KR,49.216.0.0/14
58.180.117.0/24,4670,HYUNDAI-KR,Shinbiro,KR,58.180.0.0/16
58.180.120.0/24,4670,HYUNDAI-KR,Shinbiro,KR,58.180.0.0/16
58.180.128.0/17,4670,HYUNDAI-KR,Shinbiro,KR,58.180.0.0/16
58.180.139.0/24,4670,HYUNDAI-KR,Shinbiro,KR,58.180.0.0/16
58.180.144.0/21,4670,HYUNDAI-KR,Shinbiro,KR,58.180.0.0/16
58.180.152.0/21,4670,HYUNDAI-KR,Shinbiro,KR,58.180.0.0/16
58.180.160.0/21,4670,HYUNDAI-KR,Shinbiro,KR,58.180.0.0/16
58.180.168.0/23,4670,HYUNDAI-KR,Shinbiro,KR,47.182.0.0/15
58.180.176.0/22,4670,HYUNDAI-KR,Shinbiro,KR,58.180.0.0/16
58.180.179.0/24,4670,HYUNDAI-KR,Shinbiro,KR,58.180.0.0/16
58.180.184.0/22,4670,HYUNDAI-KR,Shinbiro,KR,58.180.0.0/16
58.180.192.0/23,4670,HYUNDAI-KR,Shinbiro,KR,58.180.0.0/16
58.180.194.0/23,4670,HYUNDAI-KR,Shinbiro,KR,58.180.0.0/16
58.180.196.0/22,4670,HYUNDAI-KR,Shinbiro,KR,58.180.0.0/16
58.180.220.0/22,4670,HYUNDAI-KR,Shinbiro,KR,58.180.0.0/16
58.180.232.0/22,4670,HYUNDAI-KR,Shinbiro,KR,58.180.0.0/16
61.110.0.0/19,4670,HYUNDAI-KR,Shinbiro,KR,61.110.0.0/19
61.110.0.0/23,4670,HYUNDAI-KR,Shinbiro,KR,61.110.0.0/19
61.110.2.0/23,4670,HYUNDAI-KR,Shinbiro,KR,61.110.0.0/19
61.110.4.0/24,4670,HYUNDAI-KR,Shinbiro,KR,61.110.0.0/19
61.110.4.0/23,4670,HYUNDAI-KR,Shinbiro,KR,61.232.0.0/14
61.110.6.0/23,4670,HYUNDAI-KR,Shinbiro,KR,61.110.0.0/19
61.110.8.0/23,4670,HYUNDAI-KR,Shinbiro,KR,62.150.0.0/16
61.110.10.0/23,4670,HYUNDAI-KR,Shinbiro,KR,61.110.0.0/19
61.110.12.0/24,4670,HYUNDAI-KR,Shinbiro,KR,61.110.0.0/19
61.110.13.0/24,4670,HYUNDAI-KR,Shinbiro,KR,
61.110.14.0/24,4670,HYUNDAI-KR,Shinbiro,KR,
61.110.16.0/23,4670,HYUNDAI-KR,Shinbiro,KR,61.110.0.0/19
61.110.18.0/23,4670,HYUNDAI-KR,Shinbiro,KR,63.224.0.0/13
61.110.19.0/24,4670,HYUNDAI-KR,Shinbiro,KR,61.110.0.0/19
61.110.21.0/24,4670,HYUNDAI-KR,Shinbiro,KR,61.110.0.0/19
61.110.22.0/23,4670,HYUNDAI-KR,Shinbiro,KR,61.110.0.0/19
61.110.25.0/24,4670,HYUNDAI-KR,Shinbiro,KR,61.110.0.0/19
61.110.26.0/24,4670,HYUNDAI-KR,Shinbiro,KR,61.110.0.0/19
61.110.48.0/20,4670,HYUNDAI-KR,Shinbiro,KR,61.110.48.0/20
61.110.49.0/24,4670,HYUNDAI-KR,Shinbiro,KR,61.110.48.0/20
61.110.50.0/24,4670,HYUNDAI-KR,Shinbiro,KR,61.110.48.0/20
61.110.54.0/23,4670,HYUNDAI-KR,Shinbiro,KR,
61.110.56.0/24,4670,HYUNDAI-KR,Shinbiro,KR,61.110.48.0/20
61.110.57.0/24,4670,HYUNDAI-KR,Shinbiro,KR,61.110.48.0/20
61.110.58.0/24,4670,HYUNDAI-KR,Shinbiro,KR,61.110.48.0/20
61.110.59.0/24,4670,HYUNDAI-KR,Shinbiro,KR,61.110.48.0/20
61.110.60.0/24,4670,HYUNDAI-KR,Shinbiro,KR,61.110.48.0/20
61.110.64.0/18,4670,HYUNDAI-KR,Shinbiro,KR,61.110.64.0/18
61.110.68.0/22,4670,HYUNDAI-KR,Shinbiro,KR,62.215.0.0/16
61.110.72.0/22,4670,HYUNDAI-KR,Shinbiro,KR,61.110.64.0/18
61.110.121.0/24,4670,HYUNDAI-KR,Shinbiro,KR,61.110.64.0/18
61.110.122.0/24,4670,HYUNDAI-KR,Shinbiro,KR,61.110.64.0/18
61.110.123.0/24,4670,HYUNDAI-KR,Shinbiro,KR,61.110.64.0/18
61.110.124.0/24,4670,HYUNDAI-KR,Shinbiro,KR,61.110.64.0/18
61.110.125.0/24,4670,HYUNDAI-KR,Shinbiro,KR,61.110.64.0/18
61.110.126.0/24,4670,HYUNDAI-KR,Shinbiro,KR,61.110.64.0/18
61.110.127.0/24,4670,HYUNDAI-KR,Shinbiro,KR,61.110.64.0/18
61.111.112.0/24,4670,HYUNDAI-KR,Shinbiro,KR,61.111.112.0/20
61.111.112.0/20,4670,HYUNDAI-KR,Shinbiro,KR,61.111.112.0/20
61.111.113.0/24,4670,HYUNDAI-KR,Shinbiro,KR,61.111.112.0/20
61.111.114.0/23,4670,HYUNDAI-KR,Shinbiro,KR,61.111.112.0/20
61.111.116.0/23,4670,HYUNDAI-KR,Shinbiro,KR,61.111.112.0/20
61.111.118.0/23,4670,HYUNDAI-KR,Shinbiro,KR,61.111.112.0/20
61.111.125.0/24,4670,HYUNDAI-KR,Shinbiro,KR,61.111.112.0/20
61.111.126.0/24,4670,HYUNDAI-KR,Shinbiro,KR,61.111.112.0/20
61.111.127.0/24,4670,HYUNDAI-KR,Shinbiro,KR,61.111.112.0/20
61.111.128.0/18,4670,HYUNDAI-KR,Shinbiro,KR,61.111.128.0/18
61.111.138.0/23,4670,HYUNDAI-KR,Shinbiro,KR,61.111.128.0/18
61.111.140.0/24,4670,HYUNDAI-KR,Shinbiro,KR,61.111.128.0/18
61.111.144.0/22,4670,HYUNDAI-KR,Shinbiro,KR,61.111.128.0/18
61.111.147.0/24,4670,HYUNDAI-KR,Shinbiro,KR,61.111.128.0/18
61.111.150.0/24,4670,HYUNDAI-KR,Shinbiro,KR,61.111.128.0/18
61.111.152.0/23,4670,HYUNDAI-KR,Shinbiro,KR,61.111.128.0/18
61.111.160.0/22,4670,HYUNDAI-KR,Shinbiro,KR,61.111.128.0/18
61.111.165.0/24,4670,HYUNDAI-KR,Shinbiro,KR,61.111.128.0/18
61.111.240.0/24,4670,HYUNDAI-KR,Shinbiro,KR,61.111.240.0/20
61.111.240.0/20,4670,HYUNDAI-KR,Shinbiro,KR,61.111.240.0/20
61.111.241.0/24,4670,HYUNDAI-KR,Shinbiro,KR,61.111.240.0/20
61.111.242.0/24,4670,HYUNDAI-KR,Shinbiro,KR,61.111.240.0/20
61.111.254.0/24,4670,HYUNDAI-KR,Shinbiro,KR,64.57.176.0/20
61.111.254.0/23,4670,HYUNDAI-KR,Shinbiro,KR,61.111.240.0/20
61.111.255.0/24,4670,HYUNDAI-KR,Shinbiro,KR,61.111.240.0/20
61.248.176.0/24,4670,HYUNDAI-KR,Shinbiro,KR,61.248.176.0/20
61.248.176.0/20,4670,HYUNDAI-KR,Shinbiro,KR,61.248.176.0/20
61.248.180.0/24,4670,HYUNDAI-KR,Shinbiro,KR,61.248.176.0/20
61.248.181.0/24,4670,HYUNDAI-KR,Shinbiro,KR,61.248.176.0/20
61.248.183.0/24,4670,HYUNDAI-KR,Shinbiro,KR,61.248.176.0/20
61.248.184.0/24,4670,HYUNDAI-KR,Shinbiro,KR,61.248.176.0/20
61.248.186.0/24,4670,HYUNDAI-KR,Shinbiro,KR,61.248.176.0/20
61.248.187.0/24,4670,HYUNDAI-KR,Shinbiro,KR,61.248.176.0/20
61.248.188.0/24,4670,HYUNDAI-KR,Shinbiro,KR,61.248.176.0/20
61.248.191.0/24,4670,HYUNDAI-KR,Shinbiro,KR,61.248.176.0/20
61.249.96.0/19,4670,HYUNDAI-KR,Shinbiro,KR,61.249.96.0/19
61.249.96.0/22,4670,HYUNDAI-KR,Shinbiro,KR,61.249.96.0/19
61.249.104.0/22,4670,HYUNDAI-KR,Shinbiro,KR,61.249.96.0/19
61.249.118.0/24,4670,HYUNDAI-KR,Shinbiro,KR,61.249.96.0/19
61.249.128.0/19,4670,HYUNDAI-KR,Shinbiro,KR,61.249.128.0/19
61.249.132.0/24,4670,HYUNDAI-KR,Shinbiro,KR,61.249.128.0/19
61.249.134.0/24,4670,HYUNDAI-KR,Shinbiro,KR,61.249.128.0/19
61.249.135.0/24,4670,HYUNDAI-KR,Shinbiro,KR,61.249.128.0/19
61.249.136.0/24,4670,HYUNDAI-KR,Shinbiro,KR,61.249.128.0/19
61.249.137.0/24,4670,HYUNDAI-KR,Shinbiro,KR,61.249.128.0/19
61.249.138.0/24,4670,HYUNDAI-KR,Shinbiro,KR,61.249.128.0/19
61.249.139.0/24,4670,HYUNDAI-KR,Shinbiro,KR,61.249.128.0/19
61.249.140.0/24,4670,HYUNDAI-KR,Shinbiro,KR,61.249.128.0/19
61.249.141.0/24,4670,HYUNDAI-KR,Shinbiro,KR,61.249.128.0/19
61.249.142.0/24,4670,HYUNDAI-KR,Shinbiro,KR,61.249.128.0/19
61.249.143.0/24,4670,HYUNDAI-KR,Shinbiro,KR,61.249.128.0/19
61.249.144.0/24,4670,HYUNDAI-KR,Shinbiro,KR,61.249.128.0/19
61.249.145.0/24,4670,HYUNDAI-KR,Shinbiro,KR,61.249.128.0/19
61.249.146.0/24,4670,HYUNDAI-KR,Shinbiro,KR,61.249.128.0/19
61.249.147.0/24,4670,HYUNDAI-KR,Shinbiro,KR,61.249.128.0/19
61.249.149.0/24,4670,HYUNDAI-KR,Shinbiro,KR,61.249.128.0/19
61.249.155.0/24,4670,HYUNDAI-KR,Shinbiro,KR,61.249.128.0/19
61.249.156.0/24,4670,HYUNDAI-KR,Shinbiro,KR,61.249.128.0/19
61.249.157.0/24,4670,HYUNDAI-KR,Shinbiro,KR,61.249.128.0/19
61.249.158.0/24,4670,HYUNDAI-KR,Shinbiro,KR,61.249.128.0/19
61.249.159.0/24,4670,HYUNDAI-KR,Shinbiro,KR,61.249.128.0/19
61.249.224.0/19,4670,HYUNDAI-KR,Shinbiro,KR,61.249.224.0/19
61.249.242.0/23,4670,HYUNDAI-KR,Shinbiro,KR,61.249.224.0/19
113.130.64.0/20,4670,HYUNDAI-KR,Shinbiro,KR,113.130.64.0/19
113.130.64.0/23,4670,HYUNDAI-KR,Shinbiro,KR,113.130.64.0/19
113.130.64.0/19,4670,HYUNDAI-KR,Shinbiro,KR,113.130.64.0/19
113.130.65.0/24,4670,HYUNDAI-KR,Shinbiro,KR,113.130.64.0/19
113.130.66.0/23,4670,HYUNDAI-KR,Shinbiro,KR,115.72.0.0/13
113.130.68.0/23,4670,HYUNDAI-KR,Shinbiro,KR,111.91.236.0/22
113.130.70.0/24,4670,HYUNDAI-KR,Shinbiro,KR,
113.130.70.0/23,4670,HYUNDAI-KR,Shinbiro,KR,113.130.64.0/19
113.130.71.0/24,4670,HYUNDAI-KR,Shinbiro,KR,113.130.64.0/19
113.130.72.0/23,4670,HYUNDAI-KR,Shinbiro,KR,113.130.64.0/19
113.130.72.0/24,4670,HYUNDAI-KR,Shinbiro,KR,113.130.64.0/19
113.130.74.0/23,4670,HYUNDAI-KR,Shinbiro,KR,113.130.64.0/19
113.130.76.0/23,4670,HYUNDAI-KR,Shinbiro,KR,113.130.64.0/19
113.130.76.0/24,4670,HYUNDAI-KR,Shinbiro,KR,113.130.64.0/19
113.130.78.0/23,4670,HYUNDAI-KR,Shinbiro,KR,113.130.64.0/19
113.130.80.0/20,4670,HYUNDAI-KR,Shinbiro,KR,113.130.64.0/19
113.130.80.0/23,4670,HYUNDAI-KR,Shinbiro,KR,115.186.0.0/17
113.130.82.0/23,4670,HYUNDAI-KR,Shinbiro,KR,113.130.64.0/19
113.130.84.0/23,4670,HYUNDAI-KR,Shinbiro,KR,113.130.64.0/19
113.130.85.0/24,4670,HYUNDAI-KR,Shinbiro,KR,113.130.64.0/19
113.130.86.0/23,4670,HYUNDAI-KR,Shinbiro,KR,113.130.64.0/19
113.130.88.0/23,4670,HYUNDAI-KR,Shinbiro,KR,113.130.64.0/19
113.130.90.0/23,4670,HYUNDAI-KR,Shinbiro,KR,
113.130.92.0/23,4670,HYUNDAI-KR,Shinbiro,KR,113.130.64.0/19
113.130.94.0/23,4670,HYUNDAI-KR,Shinbiro,KR,
202.30.128.0/18,4670,HYUNDAI-KR,Shinbiro,KR,202.30.128.0/17
202.30.128.0/17,4670,HYUNDAI-KR,Shinbiro,KR,202.30.128.0/17
202.30.130.0/24,4670,HYUNDAI-KR,Shinbiro,KR,202.30.128.0/17
202.30.131.0/24,4670,HYUNDAI-KR,Shinbiro,KR,202.30.128.0/17
202.30.164.0/24,4670,HYUNDAI-KR,Shinbiro,KR,202.83.124.0/22
202.30.192.0/18,4670,HYUNDAI-KR,Shinbiro,KR,202.43.160.0/20
