Rango,ASN,Organización,Descripción,País,Rango padre
124.137.36.0/24,17838,E-HYUNDAI-AS-KR,HYUNDAI HOMESHOPPING,KR,124.136.0.0/14
124.137.37.0/24,17838,E-HYUNDAI-AS-KR,HYUNDAI HOMESHOPPING,KR,124.136.0.0/14
211.52.154.0/24,17838,E-HYUNDAI-AS-KR,HYUNDAI HOMESHOPPING,KR,211.52.144.0/20
211.111.77.0/24,17838,E-HYUNDAI-AS-KR,HYUNDAI HOMESHOPPING,KR,210.214.128.0/17
211.247.156.0/24,17838,E-HYUNDAI-AS-KR,HYUNDAI HOMESHOPPING,KR,211.228.0.0/14
211.247.157.0/24,17838,E-HYUNDAI-AS-KR,HYUNDAI HOMESHOPPING,KR,211.247.128.0/17
211.247.158.0/24,17838,E-HYUNDAI-AS-KR,HYUNDAI HOMESHOPPING,KR,211.247.128.0/17
58.180.0.0/16,4670,HYUNDAI-KR,Shinbiro,KR,58.180.0.0/16
58.180.0.0/24,4670,HYUNDAI-KR,Shinbiro,KR,58.180.0.0/16
58.180.0.0/17,4670,HYUNDAI-KR,Shinbiro,KR,58.180.0.0/16
58.180.0.0/23,4670,HYUNDAI-KR,Shinbiro,KR,58.180.0.0/16
58.180.2.0/24,4670,HYUNDAI-KR,Shinbiro,KR,58.180.0.0/16
58.180.3.0/24,4670,HYUNDAI-KR,Shinbiro,KR,58.180.0.0/16
58.180.4.0/24,4670,HYUNDAI-KR,Shinbiro,KR,58.180.0.0/16
58.180.5.0/24,4670,HYUNDAI-KR,Shinbiro,KR,58.180.0.0/16
58.180.8.0/24,4670,HYUNDAI-KR,Shinbiro,KR,58.180.0.0/16
58.180.9.0/24,4670,HYUNDAI-KR,Shinbiro,KR,55.0.0.0/8
58.180.13.0/24,4670,HYUNDAI-KR,Shinbiro,KR,58.180.0.0/16
58.180.15.0/24,4670,HYUNDAI-KR,Shinbiro,KR,58.180.0.0/16
58.180.16.0/23,4670,HYUNDAI-KR,Shinbiro,KR,59.88.0.0/13
58.180.17.0/24,4670,HYUNDAI-KR,Shinbiro,KR,58.180.0.0/16
58.180.19.0/24,4670,HYUNDAI-KR,Shinbiro,KR,58.180.0.0/16
58.180.23.0/24,4670,HYUNDAI-KR,Shinbiro,KR,58.180.0.0/16
58.180.24.0/24,4670,HYUNDAI-KR,Shinbiro,KR,58.68.128.0/17
58.180.26.0/24,4670,HYUNDAI-KR,Shinbiro,KR,58.180.0.0/16
58.180.27.0/24,4670,HYUNDAI-KR,Shinbiro,KR,58.180.0.0/16
58.180.28.0/23,4670,HYUNDAI-KR,Shinbiro,KR,58.180.0.0/16
58.180.28.0/24,4670,HYUNDAI-KR,Shinbiro,KR,47.254.0.0/16
58.180.30.0/24,4670,HYUNDAI-KR,Shinbiro,KR,58.180.0.0/16
58.180.32.0/24,4670,HYUNDAI-KR,Shinbiro,KR,58.180.0.0/16
58.180.33.0/24,4670,HYUNDAI-KR,Shinbiro,KR,49.248.128.0/18
58.180.34.0/23,4670,HYUNDAI-KR,Shinbiro,KR,58.180.0.0/16
58.180.36.0/24,4670,HYUNDAI-KR,Shinbiro,KR,58.180.0.0/16
58.180.37.0/24,4670,HYUNDAI-KR,Shinbiro,KR,58.180.0.0/16
58.180.40.0/24,4670,HYUNDAI-KR,Shinbiro,KR,58.180.0.0/16
58.180.40.0/23,4670,HYUNDAI-KR,Shinbiro,KR,58.180.0.0/16
58.180.40.0/21,4670,HYUNDAI-KR,Shinbiro,KR,58.180.0.0/16
58.180.42.0/23,4670,HYUNDAI-KR,Shinbiro,KR,58.180.0.0/16
58.180.43.0/24,4670,HYUNDAI-KR,Shinbiro,KR,58.180.0.0/16
58.180.44.0/22,4670,HYUNDAI-KR,Shinbiro,KR,58.180.0.0/16
58.180.51.0/24,4670,HYUNDAI-KR,Shinbiro,KR,58.180.0.0/16
58.180.52.0/24,4670,HYUNDAI-KR,Shinbiro,KR,49.228.0.0/14
58.180.58.0/23,4670,HYUNDAI-KR,Shinbiro,KR,50.4.0.0/16
58.180.58.0/24,4670,HYUNDAI-KR,Shinbiro,KR,58.180.0.0/16
58.180.64.0/24,4670,HYUNDAI-KR,Shinbiro,KR,58.180.0.0/16
58.180.68.0/24,4670,HYUNDAI-KR,Shinbiro,KR,58.180.0.0/16
58.180.69.0/24,4670,HYUNDAI-KR,Shinbiro,KR,58.180.0.0/16
58.180.70.0/24,4670,HYUNDAI-KR,Shinbiro,KR,58.180.0.0/16
58.180.70.0/23,4670,HYUNDAI-KR,Shinbiro,KR,58.180.0.0/16
58.180.71.0/24,4670,HYUNDAI-KR,Shinbiro,KR,59.186.0.0/15
58.180.72.0/24,4670,HYUNDAI-KR,Shinbiro,KR,58.180.0.0/16
58.180.73.0/24,4670,HYUNDAI-KR,Shinbiro,KR,58.180.0.0/16
58.180.74.0/23,4670,HYUNDAI-KR,Shinbiro,KR,58.180.0.0/16
58.180.76.0/23,4670,HYUNDAI-KR,Shinbiro,KR,58.180.0.0/16
58.180.77.0/24,4670,HYUNDAI-KR,Shinbiro,KR,49.228.0.0/14
58.180.78.0/23,4670,HYUNDAI-KR,Shinbiro,KR,58.180.0.0/16
58.180.81.0/24,4670,HYUNDAI-KR,Shinbiro,KR,58.180.0.0/16
58.180.82.0/23,4670,HYUNDAI-KR,Shinbiro,KR,58.180.0.0/16
58.180.84.0/23,4670,HYUNDAI-KR,Shinbiro,KR,51.36.0.0/16
58.180.86.0/23,4670,HYUNDAI-KR,Shinbiro,KR,58.180.0.0/16
58.180.88.0/23,4670,HYUNDAI-KR,Shinbiro,KR,58.180.0.0/16
58.180.90.0/24,4670,HYUNDAI-KR,Shinbiro,KR,58.180.0.0/16
58.180.92.0/24,4670,HYUNDAI-KR,Shinbiro,KR,58.180.0.0/16
58.180.93.0/24,4670,HYUNDAI-KR,Shinbiro,KR,58.180.0.0/16
58.180.96.0/23,4670,HYUNDAI-KR,Shinbiro,KR,58.180.0.0/16
58.180.98.0/23,4670,HYUNDAI-KR,Shinbiro,KR,49.157.0.0/16
58.180.100.0/23,4670,HYUNDAI-KR,Shinbiro,KR,58.180.0.0/16
58.180.102.0/24,4670,HYUNDAI-KR,Shinbiro,KR,58.180.0.0/16
58.180.104.0/24,4670,HYUNDAI-KR,Shinbiro,KR,58.180.0.0/16
58.180.105.0/24,4670,HYUNDAI-KR,Shinbiro,KR,58.180.0.0/16
58.180.106.0/23,4670,HYUNDAI-KR,Shinbiro,KR,52.0.0.0/10
58.180.109.0/24,4670,HYUNDAI-KR,Shinbiro,KR,58.180.0.0/16
58.180.110.0/24,4670,HYUNDAI-KR,Shinbiro,KR,58.180.0.0/16
58.180.111.0/24,4670,HYUNDAI-KR,Shinbiro,KR,58.180.0.0/16
58.180.112.0/24,4670,HYUNDAI-KR,Shinbiro,KR,58.180.0.0/16
58.180.116.0/24,4670,HYUNDAI-KR,Shinbiro,KR,49.216.0.0/14
58.180.117.0/24,4670,HYUNDAI-KR,Shinbiro,KR,58.180.0.0/16
58.180.120.0/24,4670,HYUNDAI-KR,Shinbiro,KR,58.180.0.0/16
58.180.128.0/17,4670,HYUNDAI-KR,Shinbiro,KR,58.180.0.0/16
58.180.139.0/24,4670,HYUNDAI-KR,Shinbiro,KR,58.180.0.0/16
58.180.144.0/21,4670,HYUNDAI-KR,Shinbiro,KR,58.180.0.0/16
58.180.152.0/21,4670,HYUNDAI-KR,Shinbiro,KR,58.180.0.0/16
58.180.160.0/21,4670,HYUNDAI-KR,Shinbiro,KR,58.180.0.0/16
58.180.168.0/23,4670,HYUNDAI-KR,Shinbiro,KR,47.182.0.0/15
58.180.176.0/22,4670,HYUNDAI-KR,Shinbiro,KR,58.180.0.0/16
58.180.179.0/24,4670,HYUNDAI-KR,Shinbiro,KR,58.180.0.0/16
58.180.184.0/22,4670,HYUNDAI-KR,Shinbiro,KR,58.180.0.0/16
58.180.192.0/23,4670,HYUNDAI-KR,Shinbiro,KR,58.180.0.0/16
58.180.194.0/23,4670,HYUNDAI-KR,Shinbiro,KR,58.180.0.0/16
58.180.196.0/22,4670,HYUNDAI-KR,Shinbiro,KR,58.180.0.0/16
58.180.220.0/22,4670,HYUNDAI-KR,Shinbiro,KR,58.180.0.0/16
58.180.232.0/22,4670,HYUNDAI-KR,Shinbiro,KR,58.180.0.0/16
61.110.0.0/19,4670,HYUNDAI-KR,Shinbiro,KR,61.110.0.0/19
61.110.0.0/23,4670,HYUNDAI-KR,Shinbiro,KR,61.110.0.0/19
61.110.2.0/23,4670,HYUNDAI-KR,Shinbiro,KR,61.110.0.0/19
61.110.4.0/23,4670,HYUNDAI-KR,Shinbiro,KR,61.232.0.0/14
61.110.4.0/24,4670,HYUNDAI-KR,Shinbiro,KR,61.110.0.0/19
61.110.6.0/23,4670,HYUNDAI-KR,Shinbiro,KR,61.110.0.0/19
61.110.8.0/23,4670,HYUNDAI-KR,Shinbiro,KR,62.150.0.0/16
61.110.10.0/23,4670,HYUNDAI-KR,Shinbiro,KR,61.110.0.0/19
61.110.12.0/24,4670,HYUNDAI-KR,Shinbiro,KR,61.110.0.0/19
61.110.13.0/24,4670,HYUNDAI-KR,Shinbiro,KR,
61.110.14.0/24,4670,HYUNDAI-KR,Shinbiro,KR,
61.110.16.0/23,4670,HYUNDAI-KR,Shinbiro,KR,61.110.0.0/19
61.110.18.0/23,4670,HYUNDAI-KR,Shinbiro,KR,63.224.0.0/13
61.110.19.0/24,4670,HYUNDAI-KR,Shinbiro,KR,61.110.0.0/19
61.110.21.0/24,4670,HYUNDAI-KR,Shinbiro,KR,61.110.0.0/19
61.110.22.0/23,4670,HYUNDAI-KR,Shinbiro,KR,61.110.0.0/19
61.110.25.0/24,4670,HYUNDAI-KR,Shinbiro,KR,61.110.0.0/19
61.110.26.0/24,4670,HYUNDAI-KR,Shinbiro,KR,61.110.0.0/19
61.110.48.0/20,4670,HYUNDAI-KR,Shinbiro,KR,61.110.48.0/20
61.110.49.0/24,4670,HYUNDAI-KR,Shinbiro,KR,61.110.48.0/20
61.110.50.0/24,4670,HYUNDAI-KR,Shinbiro,KR,61.110.48.0/20
61.110.54.0/23,4670,HYUNDAI-KR,Shinbiro,KR,61.110.48.0/20
61.110.56.0/24,4670,HYUNDAI-KR,Shinbiro,KR,61.110.48.0/20
61.110.57.0/24,4670,HYUNDAI-KR,Shinbiro,KR,61.110.48.0/20
61.110.58.0/24,4670,HYUNDAI-KR,Shinbiro,KR,61.110.48.0/20
61.110.59.0/24,4670,HYUNDAI-KR,Shinbiro,KR,61.110.48.0/20
61.110.60.0/24,4670,HYUNDAI-KR,Shinbiro,KR,61.110.48.0/20
61.110.64.0/18,4670,HYUNDAI-KR,Shinbiro,KR,61.110.64.0/18
61.110.68.0/22,4670,HYUNDAI-KR,Shinbiro,KR,62.215.0.0/16
